Date/Time,avg_3phase_voltage,avg_current,average_dc_power,average_dc_voltage,none,average_device_temperature,kilowatt-hours,watts,hertz,kilowatt-hours,watts,volts,volts,volts,volts
2025-01-14 07:20,2.628463506699,1455.19302368164,414.366455078125,611.72060139974,0,33.787062327067,0,1125.92553710938,50.037094116211,0,1125.92553710938,414.366455078125,414.41943359375,414.448425292969,414.231506347656
2025-01-14 07:25,3.146598100662,2028.37660217285,413.865631103516,624.918782552083,0,34.526444753011,0,1692.9091796875,50.019302368164,0,1692.9091796875,413.865631103516,413.268920898438,414.456573486328,413.871398925781
2025-01-14 07:30,3.826336622238,2565.61491394043,412.794891357422,639.85199991862,0,35.145801544189,0,2213.04858398438,50.040859222412,0,2213.04858398438,412.794891357422,411.452697753906,413.745056152344,413.186920166016
2025-01-14 07:35,4.643978595734,3135.78861999512,411.608917236328,650.100860595703,0,35.684638977051,0,2777.984375,50.017204284668,0,2777.984375,411.608917236328,411.894195556641,411.676422119141,411.256134033203
2025-01-14 07:40,5.5024933815,3882.58111572266,415.805369059245,654.223225911458,0,36.06765238444,0,3518.00634765625,49.999816894531,0,3518.00634765625,415.805369059245,414.837677001953,417.177490234375,415.400939941406
2025-01-14 07:45,6.913774490356,4954.28198242188,415.280975341797,661.336893717448,0,36.498943328857,0.992000000027,4595.05517578125,49.990409851074,0.992000000027,4595.05517578125,415.280975341797,415.305114746094,415.818511962891,414.719299316406
2025-01-14 07:50,8.548070907593,6163.55282592773,414.253997802734,657.181772867838,0,36.907077789307,0,5798.55712890625,50.021926879883,0,5798.55712890625,414.253997802734,414.521728515625,414.158996582031,414.081268310547
2025-01-14 07:55,10.11665725708,7345.94802856445,414.881795247396,666.240193684896,0,37.314523061117,0.992000000027,6957.501953125,50.035079956055,0.992000000027,6957.501953125,414.881795247396,414.267730712891,414.957550048828,415.420104980469
2025-01-14 08:00,11.748122215271,8516.36889648438,413.640472412109,669.564910888672,0,37.782343546549,0,8148.96923828125,50.091117858887,0,8148.96923828125,413.640472412109,415.027893066406,413.224304199219,412.669219970703
2025-01-14 08:05,13.22963142395,9713.58505249023,416.630228678385,672.313832600911,0,38.148379007975,0.991999999969,9348.1669921875,50.069599151611,0.991999999969,9348.1669921875,416.630228678385,416.576904296875,416.292327880859,417.021453857422
2025-01-14 08:10,14.990550041199,10925.8255615234,415.225219726562,666.295471191406,0,38.522825876872,1.023999999976,10571.13671875,50.009803771973,1.023999999976,10571.13671875,415.225219726562,414.395599365234,416.446258544922,414.833801269531
2025-01-14 08:15,16.877460479736,12188.0944213867,413.13525390625,671.592315673828,0,38.998427073161,0.992000000027,11845.4716796875,50.012893676758,0.992000000027,11845.4716796875,413.13525390625,413.117279052734,413.536743164062,412.751739501953
2025-01-14 08:20,18.707191467285,13517.1003417969,413.40522257487,680.301818847656,0,39.523202260335,0.992000000027,13156.8837890625,50.074066162109,0.992000000027,13156.8837890625,413.40522257487,412.47705078125,414.723999023438,413.014617919922
2025-01-14 08:25,19.866876602173,14630.7429199219,417.54160563151,679.644124348958,0,40.141859690348,1.023999999976,14200.6240234375,50.052173614502,1.023999999976,14200.6240234375,417.54160563151,417.036224365234,417.818481445312,417.770111083984
2025-01-14 08:30,21.56236076355,15693.8939208984,414.087860107422,677.896219889323,0,40.683489481608,0.991999999969,15246.6689453125,50.090461730957,0.991999999969,15246.6689453125,414.087860107422,413.107086181641,414.811187744141,414.345306396484
2025-01-14 08:35,24.68364906311,17885.8256225586,411.196838378906,668.509043375651,0,41.306888580322,1.984000000055,17385.40234375,50.069675445557,1.984000000055,17385.40234375,411.196838378906,410.974395751953,411.406433105469,411.209686279297
2025-01-14 08:40,26.217227935791,19040.3628540039,413.710642496745,664.299082438151,0,41.95871480306,0.991999999969,18564.43359375,50.064167022705,0.991999999969,18564.43359375,413.710642496745,411.943359375,415.939117431641,413.249450683594
2025-01-14 08:45,28.614702224731,21007.1938476563,417.034149169922,650.260782877604,0,42.566260019938,2.016000000003,20437.462890625,50.08667755127,2.016000000003,20437.462890625,417.034149169922,417.159332275391,418.119689941406,415.823425292969
2025-01-14 08:50,32.440208435059,23747.1755981445,416.020192464193,654.209065755208,0,43.484834035238,0.992000000027,23162.7109375,50.099174499512,0.992000000027,23162.7109375,416.020192464193,416.663543701172,416.833099365234,414.563934326172
2025-01-14 08:55,31.319124221802,23012.5106201172,417.14687093099,652.26601155599,0,44.018578847249,2.015999999945,22411.427734375,50.124309539795,2.015999999945,22411.427734375,417.14687093099,417.085479736328,418.840026855469,415.515106201172
2025-01-14 09:00,31.043424606323,22695.8792114258,415.728668212891,654.893666585286,0,44.251411437988,1.984000000055,22139.017578125,50.069267272949,1.984000000055,22139.017578125,415.728668212891,415.335113525391,417.232025146484,414.618865966797
2025-01-14 09:05,33.898002624512,24691.0405883789,413.755676269531,657.031046549479,0,44.527887980143,2.015999999945,24102.94140625,50.080841064453,2.015999999945,24102.94140625,413.755676269531,413.085021972656,415.382537841797,412.799468994141
2025-01-14 09:10,40.381458282471,29329.4979248047,411.950856526693,655.782145182292,0,45.397346496582,1.984000000055,28621.2109375,50.065795898438,1.984000000055,28621.2109375,411.950856526693,412.191436767578,412.742614746094,410.918518066406
2025-01-14 09:15,42.860717773438,31209.2697143555,412.966044108073,656.250223795573,0,46.305023193359,3.007999999973,30423.994140625,50.100112915039,3.007999999973,30423.994140625,412.966044108073,412.408630371094,412.991027832031,413.498474121094
2025-01-14 09:20,43.989196777344,32523.0048828125,418.945505777995,658.639638264974,0,46.928897857666,1.983999999997,31703.291015625,50.0927734375,1.983999999997,31703.291015625,418.945505777995,418.440765380859,419.767303466797,418.628448486328
2025-01-14 09:25,45.326915740967,33454.3840332031,418.462178548177,653.840515136719,0,47.432225545247,3.008000000031,32600.625,50.100482940674,3.008000000031,32600.625,418.462178548177,418.137512207031,419.152740478516,418.096282958984
2025-01-14 09:30,48.476474761963,35529.2602539063,416.429423014323,653.186553955078,0,47.985961914062,3.007999999973,34738.0078125,50.115058898926,3.007999999973,34738.0078125,416.429423014323,415.763946533203,417.036651611328,416.487670898438
2025-01-14 09:35,50.930934906006,37043.3374023438,413.234578450521,649.889231363932,0,48.483360290527,3.007999999973,36218.11328125,50.076988220215,3.007999999973,36218.11328125,413.234578450521,413.353454589844,413.527069091797,412.823211669922
2025-01-14 09:40,53.773361206055,38986.4790039063,412.232777913411,654.750498453776,0,49.126630147298,3.008000000031,38125.6171875,50.081069946289,3.008000000031,38125.6171875,412.232777913411,411.705169677734,413.000244140625,411.992919921875
2025-01-14 09:45,55.711566925049,40817.5217285156,416.118072509766,648.942738850911,0,49.866667429606,2.976000000024,39915.6484375,50.116115570068,2.976000000024,39915.6484375,416.118072509766,416.035614013672,416.766784667969,415.551818847656
2025-01-14 09:50,57.958522796631,42256.3205566406,414.261606852214,654.371856689453,0,50.4541015625,4,41329.2421875,50.055572509766,4,41329.2421875,414.261606852214,413.621154785156,415.338775634766,413.824890136719
2025-01-14 09:55,60.099418640137,44088.1138916016,417.167205810547,653.936391194661,0,51.099252065023,3.007999999973,43133.4609375,50.119499206543,3.007999999973,43133.4609375,417.167205810547,415.813018798828,417.872100830078,417.816497802734
2025-01-14 10:00,62.053546905518,45363.9553222656,415.364868164062,651.011871337891,0,51.825750986735,4,44353.515625,50.079780578613,4,44353.515625,415.364868164062,413.41162109375,416.552459716797,416.130523681641
2025-01-14 10:05,63.08943939209,46047.9626464844,415.032033284505,650.712809244792,0,52.405255635579,3.007999999973,45062.1640625,50.103679656982,3.007999999973,45062.1640625,415.032033284505,414.896575927734,415.206420898438,414.993103027344
2025-01-14 10:10,66.115280151367,47857.3334960938,411.527048746745,643.988677978516,0,52.948870340983,4,46815.79296875,50.13748550415,4,46815.79296875,411.527048746745,411.759582519531,411.52294921875,411.298614501953
2025-01-14 10:15,65.819114685059,48627.9460449219,419.1298828125,643.331044514974,0,53.410306294759,4,47482.7578125,50.093845367432,4,47482.7578125,419.1298828125,418.483276367188,420.058898925781,418.847473144531
2025-01-14 10:20,67.351272583008,49343.923828125,416.375284830729,639.738433837891,0,53.802096048991,4,48269.53125,49.997108459473,4,48269.53125,416.375284830729,416.470336914062,416.791778564453,415.863739013672
2025-01-14 10:25,68.543449401855,50080.2963867188,415.105875651042,642.107615152995,0,54.061243693034,4,49012,50.095462799072,4,49012,415.105875651042,415.345977783203,415.190368652344,414.781280517578
2025-01-14 10:30,70.077919006348,51218.3852539063,415.631113688151,637.189758300781,0,54.437258402507,4,50103.3984375,50.033622741699,4,50103.3984375,415.631113688151,417.066345214844,415.338165283203,414.488830566406
2025-01-14 10:35,71.676918029785,52433.076171875,415.96181233724,633.92475382487,0,54.926643371582,4.992000000027,51324.875,50.027557373047,4.992000000027,51324.875,415.96181233724,416.585754394531,415.615112304688,415.6845703125
2025-01-14 10:40,73.126892089844,53616.6218261719,416.567128499349,628.887827555338,0,55.265073140462,4,52447.484375,50.073635101318,4,52447.484375,416.567128499349,416.388397216797,417.298583984375,416.014404296875
2025-01-14 10:45,75.539047241211,54998.2839355469,413.849609375,622.25146484375,0,55.826086680094,4,53810.33984375,50.035861968994,4,53810.33984375,413.849609375,411.766387939453,416.71044921875,413.071990966797
2025-01-14 10:50,76.382202148438,55574.6184082031,413.635335286458,619.302368164062,0,56.170046488444,4.992000000027,54381.86328125,50.01969909668,4.992000000027,54381.86328125,413.635335286458,412.718688964844,415.707336425781,412.47998046875
2025-01-14 10:55,78.967910766602,56833.9250488281,409.123687744141,627.357116699219,0,56.755683898926,4,55620.515625,50.039772033691,4,55620.515625,409.123687744141,408.108245849609,410.264495849609,408.998321533203
2025-01-14 11:00,79.617858886719,57847.9753417969,412.934356689453,618.195251464844,0,57.190397898356,5.023999999976,56591.390625,50.139129638672,5.023999999976,56591.390625,412.934356689453,411.938659667969,414.300811767578,412.563598632812
2025-01-14 11:05,80.180313110352,58425.5959472656,413.764475504557,618.623301188151,0,57.381567637126,4.991999999969,57173.40234375,50.083194732666,4.991999999969,57173.40234375,413.764475504557,412.810302734375,415.202728271484,413.280395507812
2025-01-14 11:10,82.187355041504,59461.5922851563,410.941426595052,617.559855143229,0,57.832455952962,4.992000000027,58207.65234375,50.06453704834,4.992000000027,58207.65234375,410.941426595052,411.311218261719,411.846008300781,409.667053222656
2025-01-14 11:15,84.222541809082,61094.2854003906,412.249603271484,612.250315348307,0,58.286336263021,4.992000000027,59798.625,50.085876464844,4.992000000027,59798.625,412.249603271484,412.043548583984,412.977325439453,411.727935791016
2025-01-14 11:20,86.062469482422,62208.0126953125,410.779805501302,613.654998779297,0,58.752282460531,4.991999999969,60875.75390625,50.035449981689,4.991999999969,60875.75390625,410.779805501302,410.318695068359,411.935272216797,410.08544921875
2025-01-14 11:25,90.015785217285,64958.5610351563,409.931264241536,607.860911051432,0,59.496621449788,5.023999999976,63538.8828125,50.057342529297,5.023999999976,63538.8828125,409.931264241536,408.803985595703,411.166259765625,409.823547363281
2025-01-14 11:30,88.743980407715,64447.1000976563,412.662658691406,611.814595540364,0,59.795927683512,4.992000000027,63101.2578125,50.054821014404,4.992000000027,63101.2578125,412.662658691406,412.154907226562,412.401489257812,413.431579589844
